static O1:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    small diff:		       0.250000	       0.000000	       0.000000	       0.090000	       0.010000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                   medium diff:		       0.380000	       0.000000	       0.000000	       0.140000	       0.040000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
medium remove operation from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                      big diff:		       0.820000	       0.000000	       0.000000	       0.270000	       0.100000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
big remove operation from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static O2:
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    small diff:		       0.290000	       0.000000	       0.000000	       0.100000	       0.020000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
       small remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                   medium diff:		       0.410000	       0.000000	       0.010000	       0.140000	       0.050000	
      medium remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
medium remove operation from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                      big diff:		       0.570000	       0.000000	       0.000000	       0.280000	       0.060000	
         big remove from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
big remove operation from array:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
            add remove 7 times:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
static: O3
                          Name		       Real [s]	       User [s]	     System [s]	 Child User [s]	Child System [s]
              table create 100:		       0.000000	       0.000000	       0.000000	       0.000000	       0.000000	
                    small diff:		       0.200000	       0.000000	       0.000000	       0.100000	       0.010000	
